age,gender,place,wspomaganie_innowacji,ai_zastapienie_lekarzy,operacja_robot_chirurg,ingerencja_geny,dane_czujniki_spersonalizowanie,leczenie_leki_genetyczne,opiekun_robot_czlowiek,koszulka_smart,tatuaz_smart,chip,wieksza_zaplata_zabieg,stosowanie_urzadzen,udzial_zaawansowane_badanie,vr,predyspozycje_genetyczne,liczba_daVinci,przewidywanie_stan_zdrowia,swiadomosc_korzysci_ai,telemedycyna
21,1,1,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Człowiek,Tak,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,2 sztuki,Tak,Tak,Tylko ze względu na epidemię COVID-19
26,1,1,Nie,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Tak,około 10 sztuk,Tak,Tak,Tylko ze względu na epidemię COVID-19
22,1,1,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Nie,Tak,Tak,Człowiek,Nie,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Tak,około 10 sztuk,Tak,Tak,Tylko ze względu na epidemię COVID-19
51,2,2,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Nie,Nie,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
22,1,4,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Człowiek,Tak,Nie,Nie,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Tak,Tak,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
22,1,2,Nie,Nie,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Nie,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
21,1,1,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,2 sztuki,Nie,Tak,Tylko ze względu na epidemię COVID-19
50,2,1,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Nie,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Tak,Nie,Tak,2 sztuki,Tak,Tak,Tylko ze względu na epidemię COVID-19
21,1,1,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie wiem,Tak,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
22,1,1,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Nie,2 sztuki,Tak,Nie,Tylko ze względu na epidemię COVID-19
23,1,2,Tak,Tak,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
21,1,2,Tak,Nie,Jedynie przez wykształconego chirurga,Nie,Tak,Tak,Człowiek,Nie,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Tak,Nie,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
22,2,2,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Człowiek,Tak,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
23,2,2,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Nie,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Tak,Tak,Nie,około 10 sztuk,Nie,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
26,2,4,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie wiem,Tak,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
25,1,3,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Tak,około 10 sztuk,Nie,Nie,Jako uzupełnienie tradycyjnych form opieki medycznej
50,2,1,Nie,Tak,Jedynie przez wykształconego chirurga,Nie,Nie,Nie,Człowiek,Nie,Nie,Nie,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Nie,Nie,Nie,Nie,2 sztuki,Nie,Nie,Jako uzupełnienie tradycyjnych form opieki medycznej
30,2,4,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Człowiek,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
43,1,1,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Nie,Tak,Człowiek,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Tak,Nie,Nie,2 sztuki,Nie,Nie,Tylko ze względu na epidemię COVID-19
21,1,1,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Nie,Nie,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
21,1,2,Tak,Nie,Jedynie przez wykształconego chirurga,Nie,Tak,Tak,Człowiek,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Tak,2 sztuki,Tak,Nie,Tylko ze względu na epidemię COVID-19
22,1,1,Nie,Tak,Jedynie przez wykształconego chirurga,Nie,Nie,Nie,Człowiek,Nie,Tak,Nie,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Tak,Nie,Tak,2 sztuki,Tak,Nie,Zamiast tradycyjnej opieki medycznej
24,2,1,Nie,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Nie,2 sztuki,Tak,Tak,Zamiast tradycyjnej opieki medycznej
47,1,1,Tak,Tak,Jedynie przez wykształconego chirurga,Nie,Tak,Tak,Człowiek,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Nie,około 100 sztuk,Tak,Nie,Jako uzupełnienie tradycyjnych form opieki medycznej
44,1,3,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Człowiek,Tak,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Tak,około 100 sztuk,Tak,Nie,Tylko ze względu na epidemię COVID-19
22,1,5,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Nie,Tak,Tak,Człowiek,Nie,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Nie,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
22,1,1,Nie,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Nie,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Nie,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Tak,Nie,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
22,1,1,Nie,Tak,Jedynie przez wykształconego chirurga,Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Nie,2 sztuki,Tak,Nie,Tylko ze względu na epidemię COVID-19
22,2,1,Nie,Nie,Jedynie przez wykształconego chirurga,Nie,Nie,Nie,Człowiek,Nie,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Nie,2 sztuki,Nie,Tak,Tylko ze względu na epidemię COVID-19
37,1,1,Nie,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Nie,Tak,Człowiek,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Nie,Tak,2 sztuki,Tak,Nie,Tylko ze względu na epidemię COVID-19
25,1,5,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Nie,Tak,Nie,Człowiek,Tak,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Tak,2 sztuki,Nie,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
21,2,4,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,2 sztuki,Nie,Tak,Tylko ze względu na epidemię COVID-19
22,2,4,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
27,2,1,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Nie,Nie,Tak,Człowiek,Nie,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Tak,około 10 sztuk,Tak,Tak,Tylko ze względu na epidemię COVID-19
22,1,1,Nie,Nie,Jedynie przez wykształconego chirurga,Tak,Nie,Tak,Człowiek,Nie,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
21,2,5,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
22,2,4,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Nie,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Tak,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
22,1,4,Nie,Nie,Jedynie przez wykształconego chirurga,Tak,Nie,Tak,Człowiek,Nie,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
22,1,5,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Człowiek,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
21,2,1,Nie,Nie,Jedynie przez wykształconego chirurga,Nie,Tak,Nie,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Nie,2 sztuki,Nie,Tak,Tylko ze względu na epidemię COVID-19
22,2,4,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Człowiek,Tak,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
22,1,5,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Człowiek,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
19,1,2,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Tak,Nie,Człowiek,Nie,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Tak,Tak,2 sztuki,Tak,Nie,Jako uzupełnienie tradycyjnych form opieki medycznej
22,1,1,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Tak,Nie,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
22,1,2,Tak,Tak,Jedynie przez wykształconego chirurga,Nie,Tak,Tak,Człowiek,Nie,Tak,Nie,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Tak,Nie,Tak,około 10 sztuk,Tak,Tak,Tylko ze względu na epidemię COVID-19
49,2,1,Nie,Nie,Jedynie przez wykształconego chirurga,Nie,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Tak,Nie,Nie,około 10 sztuk,Tak,Nie,Jako uzupełnienie tradycyjnych form opieki medycznej
22,1,5,Tak,Nie,Jedynie przez wykształconego chirurga,Nie,Tak,Tak,Człowiek,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,około 10 sztuk,Tak,Tak,Tylko ze względu na epidemię COVID-19
22,1,1,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Tak,Nie,Tak,2 sztuki,Tak,Nie,Zamiast tradycyjnej opieki medycznej
22,1,5,Nie,Tak,Jedynie przez wykształconego chirurga,Nie,Nie,Nie,Człowiek,Nie,Tak,Nie,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Nie wiem,Tak,Nie,2 sztuki,Nie,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
21,1,5,Nie,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
21,1,5,Nie,Nie,Jedynie przez wykształconego chirurga,Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Nie,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Nie,Nie,Tak,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
23,2,3,Nie,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
29,2,3,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
19,1,3,Tak,Tak,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Człowiek,Nie,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Nie,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
21,2,2,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,2 sztuki,Tak,Tak,Zamiast tradycyjnej opieki medycznej
21,1,2,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Tak,Tak,Tak,około 100 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
33,1,3,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Człowiek,Tak,Tak,Nie,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Tak,Nie,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
21,1,2,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
22,2,3,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
21,1,4,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
24,2,1,Nie,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Nie,Nie,Nie,Człowiek,Nie,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Nie,2 sztuki,Tak,Nie,Jako uzupełnienie tradycyjnych form opieki medycznej
20,1,1,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Tak,2 sztuki,Nie,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
