id,respondent_id,wieksza_zaplata_zabieg,leczenie_leki_genetyczne,ingerencja_geny,dane_czujniki_spersonalizowanie,opiekun_robot_czlowiek,koszulka_smart,tatuaz_smart,chip
55,75,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
56,74,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
57,74,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
58,74,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
59,74,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
60,77,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Człowiek,Nie,Nie,Nie
61,78,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Tak,Tak,Nie
62,82,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
63,83,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Tak,Nie,Nie
64,85,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Tak,Tak,Nie
65,80,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Tak,Tak,Człowiek,Nie,Tak,Nie
66,79,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Nie
67,87,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Nie,Tak,Człowiek,Nie,Tak,Nie
68,86,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
69,88,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Człowiek,Tak,Tak,Tak
70,89,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Nie
71,90,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Nie,Nie,Nie,Człowiek,Nie,Tak,Nie
72,91,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Nie,Nie
73,92,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Tak,Nie,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Nie
74,93,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
75,94,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
76,95,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Nie,Nie,Nie
77,96,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
78,98,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
79,97,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Tak,Tak,Człowiek,Tak,Tak,Nie
80,97,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Tak,Tak,Człowiek,Tak,Tak,Nie
81,99,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Tak
82,100,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
83,101,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Nie
84,102,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Człowiek,Nie,Nie,Nie
85,103,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
86,105,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Człowiek,Tak,Nie,Nie
87,104,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Tak,Nie,Nie
88,106,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Tak,Tak,Tak
89,107,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Tak,Tak,Tak
90,108,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
91,110,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
92,111,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Nie
93,112,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
94,113,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
95,114,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Nie
96,115,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
97,116,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
98,117,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
99,118,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Nie
100,119,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
101,120,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
102,121,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
103,122,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
104,123,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
105,123,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
